Região_de_Saude,Casos,População_Total,População_Normalizada,casos_normalizados_cem_mil,casos_normalizados,PRECIPITAÇÃO_NORMALIZADA,TEMP_MAX_NORMALIZADA,TEMP_MIN_NORMALIZADA,UMIDADE_MAX_NORMALIZADA,UMIDADE_MIN_NORMALIZADA,Ano
. Itapoã,456.0,5208900,0.1188641751499093,8.75424753786788,0.0392378632329911,0.5236203410449198,0.1548077741073356,0.1555693042410981,0.327382768765122,0.2967351242629128,2021
. Paranoá,705.0,4828100,0.1093815367452238,14.602017356724176,0.0609013398294762,0.5236203410449198,0.1548077741073356,0.1555693042410981,0.327382768765122,0.2967351242629128,2021
. São Sebastião,1063.0,7457000,0.1748461063410163,14.25506235751643,0.0920480250565512,0.5236203410449198,0.1548077741073356,0.1555693042410981,0.327382768765122,0.2967351242629128,2021
. Fercal,61.0,876300,0.0109742614100444,6.961086385940888,0.0048721071863581,0.4052767157731236,0.0,0.0,0.2780695623695876,0.2635969956438259,2021
. Planaltina,3395.0,17265700,0.4191012411100265,19.66326300121049,0.2949364886027492,0.4052767157731236,0.0,0.0,0.2780695623695876,0.2635969956438259,2021
. Sobradinho,1613.0,7025200,0.1640934717214176,22.96020042134032,0.1398990777797111,0.4052767157731236,0.0,0.0,0.2780695623695876,0.2635969956438259,2021
. Sobradinho II,1013.0,8083000,0.1904346873319122,12.532475566002722,0.0876979293544458,0.4052767157731236,0.0,0.0,0.2780695623695876,0.2635969956438259,2021
. Brazlândia,177.0,5797400,0.1335189353945454,3.0530927657225653,0.0149643292152427,0.6723537685813649,0.1564901649319,0.2001564426945573,0.0824997550097581,0.0928154722077965,2021
. Ceilândia,1640.0,40593200,1.0,4.040085531566863,0.1422481294588481,0.6723537685813649,0.1564901649319,0.2001564426945573,0.0824997550097581,0.0928154722077965,2021
. Águas Claras,388.0,9892800,0.2355021216407355,3.922044315057416,0.0333217330781277,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Recanto Das Emas,404.0,12361500,0.2969774090085065,3.268211786595478,0.0347137637028014,0.404141175711151,0.282473072758494,0.2128300334802671,0.10660108699612,0.0820266490140635,2021
. Samambaia,1152.0,20123000,0.490253401597705,5.724792525965314,0.0997911954062989,0.404141175711151,0.282473072758494,0.2128300334802671,0.10660108699612,0.0820266490140635,2021
. Taguatinga,703.0,20570200,0.5013895252704345,3.417565215700382,0.060727336001392,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Vicente Pires,495.0,6106600,0.1412185987210391,8.105983689778272,0.0426309378806333,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
